# taken from
# https://twiki.cern.ch/twiki/bin/view/Atlas/NtuplesForTLA
# short_name dsid xsec_in_nb filt_eff n_events
JZ0W	361020	7.8420E+07	1.0240E+00 1699677.0
JZ1W	361021	7.8420E+07	6.7198E-04 71591728.60612595
JZ2W	361022	2.4334E+06	3.3264E-04 59320275.52221131
JZ3W	361023	2.6454E+04	3.1953E-04 289155668.6487154
JZ4W	361024	2.5464E+02	5.3009E-04 201660714.25677633
JZ5W	361025	4.5536E+00	9.2325E-04 126274751.77141428
JZ6W	361026	2.5752E-01	9.4016E-04 19037895.905477047
JZ7W	361027	1.6214E-02	3.9282E-04 50187994.408672094
JZ8W	361028	6.2505E-04	1.0162E-02 1743200.0
JZ9W	361029	1.9640E-05	1.2054E-02 1813200.0
JZ10W	361030	1.1961E-06	5.8935E-03 1996000.0
JZ11W	361031	4.2260E-08	2.7015E-03 1993200.0
JZ12W	361032	1.0370E-09	4.2502E-04 1974600.0

# taken from
# https://twiki.cern.ch/twiki/bin/view/AtlasProtected/JetEtmissMC15
JZ0	361000	7.8420E+07	9.7563E-01         ?
JZ1	361001	7.8420E+07	2.4819E-02         ?
JZ2	361002	2.4334E+06	1.0040E-02         ?
JZ3	361003	2.6454E+04	1.1798E-02         ?
JZ4	361004	2.5464E+02	1.3440E-02         ?
JZ5	361005	4.5536E+00	1.4577E-02         ?
JZ6	361006	2.5752E-01	1.0018E-02         ?
JZ7	361007	1.6214E-02	1.1120E-02         ?
JZ8	361008	6.2505E-04	1.0331E-02         ?
JZ9	361009	1.9640E-05	1.2110E-02         ?
JZ10	361010	1.1961E-06	5.8921E-03         ?
JZ11	361011	4.2260E-08	2.6753E-03         ?

# rs models taken from AMI
RS_G_hh_bbbb_c10_M300  301488  1.3181E-03  1.0000E+00   79800.0
RS_G_hh_bbbb_c10_M400  301489  1.8986E-03  1.0000E+00   99800.0
RS_G_hh_bbbb_c10_M500  301490  8.9149E-04  1.0000E+00   94400.0
RS_G_hh_bbbb_c10_M600  301491  4.1016E-04  1.0000E+00   99800.0
RS_G_hh_bbbb_c10_M700  301492  2.0136E-04  1.0000E+00   54800.0
RS_G_hh_bbbb_c10_M800  301493  1.0544E-04  1.0000E+00   70000.0
RS_G_hh_bbbb_c10_M900  301494  5.8282E-05  1.0000E+00   83000.0
RS_G_hh_bbbb_c10_M1000  301495  3.3696E-05  1.0000E+00  100000.0
RS_G_hh_bbbb_c10_M1100  301496  2.0230E-05  1.0000E+00   99800.0
RS_G_hh_bbbb_c10_M1200  301497  1.2537E-05  1.0000E+00   99800.0
RS_G_hh_bbbb_c10_M1300  301498  7.9815E-06  1.0000E+00   19800.0
RS_G_hh_bbbb_c10_M1400  301499  5.1971E-06  1.0000E+00   99600.0
RS_G_hh_bbbb_c10_M1500  301500  3.4530E-06  1.0000E+00   99400.0
RS_G_hh_bbbb_c10_M1600  301501  2.3348E-06  1.0000E+00   99800.0
RS_G_hh_bbbb_c10_M1800  301502  1.1157E-06  1.0000E+00   15000.0
RS_G_hh_bbbb_c10_M2000  301503  5.5923E-07  1.0000E+00   89800.0
RS_G_hh_bbbb_c10_M2250  301504  2.4873E-07  1.0000E+00   99800.0
RS_G_hh_bbbb_c10_M2500  301505  1.1584E-07  1.0000E+00   60000.0
RS_G_hh_bbbb_c10_M2750  301506  5.5896E-08  1.0000E+00   59600.0
RS_G_hh_bbbb_c10_M3000  301507  2.7746E-08  1.0000E+00   78000.0
